Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,Receptor,Affinity
30,ligand_6031,-10.6,-9.694,-10.52,-11.19,-7.77,1.512,5,1VYW,-10.6
30,ligand_6031,-10.6,-9.694,-10.52,-11.19,-7.77,1.512,5,7RWF,-11.19
30,ligand_6031,-10.6,-9.694,-10.52,-11.19,-7.77,1.512,5,5A14,-10.52
30,ligand_6031,-10.6,-9.694,-10.52,-11.19,-7.77,1.512,5,5IF1,-8.39
30,ligand_6031,-10.6,-9.694,-10.52,-11.19,-7.77,1.512,5,1W98,-7.77
31,ligand_345,-10.15,-9.682,-10.14,-11.76,-7.62,1.703,5,1VYW,-10.14
31,ligand_345,-10.15,-9.682,-10.14,-11.76,-7.62,1.703,5,7RWF,-10.61
31,ligand_345,-10.15,-9.682,-10.14,-11.76,-7.62,1.703,5,5A14,-11.76
31,ligand_345,-10.15,-9.682,-10.14,-11.76,-7.62,1.703,5,5IF1,-7.62
31,ligand_345,-10.15,-9.682,-10.14,-11.76,-7.62,1.703,5,1W98,-8.28
32,ligand_6508,-10.28,-9.682,-9.775,-12.21,-7.73,1.766,5,1VYW,-10.36
32,ligand_6508,-10.28,-9.682,-9.775,-12.21,-7.73,1.766,5,7RWF,-12.21
32,ligand_6508,-10.28,-9.682,-9.775,-12.21,-7.73,1.766,5,5A14,-9.78
32,ligand_6508,-10.28,-9.682,-9.775,-12.21,-7.73,1.766,5,5IF1,-7.73
32,ligand_6508,-10.28,-9.682,-9.775,-12.21,-7.73,1.766,5,1W98,-8.33
33,ligand_50,-10.5,-9.679,-10.05,-11.09,-8.23,1.277,5,1VYW,-10.05
33,ligand_50,-10.5,-9.679,-10.05,-11.09,-8.23,1.277,5,7RWF,-11.09
33,ligand_50,-10.5,-9.679,-10.05,-11.09,-8.23,1.277,5,5A14,-10.57
33,ligand_50,-10.5,-9.679,-10.05,-11.09,-8.23,1.277,5,5IF1,-8.46
33,ligand_50,-10.5,-9.679,-10.05,-11.09,-8.23,1.277,5,1W98,-8.23
34,ligand_3155,-10.77,-9.67,-10.45,-11.2,-7.52,1.611,5,1VYW,-10.77
34,ligand_3155,-10.77,-9.67,-10.45,-11.2,-7.52,1.611,5,7RWF,-11.2
34,ligand_3155,-10.77,-9.67,-10.45,-11.2,-7.52,1.611,5,5A14,-10.45
34,ligand_3155,-10.77,-9.67,-10.45,-11.2,-7.52,1.611,5,5IF1,-7.52
34,ligand_3155,-10.77,-9.67,-10.45,-11.2,-7.52,1.611,5,1W98,-8.41
35,ligand_7629,-11.13,-9.668,-11.13,-12.32,-6.21,2.672,5,1VYW,-11.13
35,ligand_7629,-11.13,-9.668,-11.13,-12.32,-6.21,2.672,5,7RWF,-12.32
35,ligand_7629,-11.13,-9.668,-11.13,-12.32,-6.21,2.672,5,5A14,-11.24
35,ligand_7629,-11.13,-9.668,-11.13,-12.32,-6.21,2.672,5,5IF1,-6.21
35,ligand_7629,-11.13,-9.668,-11.13,-12.32,-6.21,2.672,5,1W98,-7.43
36,ligand_2415,-11.76,-9.665,-9.705,-11.48,-8.37,1.206,5,1VYW,-11.48
36,ligand_2415,-11.76,-9.665,-9.705,-11.48,-8.37,1.206,5,7RWF,-8.37
36,ligand_2415,-11.76,-9.665,-9.705,-11.48,-8.37,1.206,5,5A14,-8.8
36,ligand_2415,-11.76,-9.665,-9.705,-11.48,-8.37,1.206,5,5IF1,-9.71
36,ligand_2415,-11.76,-9.665,-9.705,-11.48,-8.37,1.206,5,1W98,-9.97
37,ligand_6039,-10.5,-9.634,-10.19,-11.06,-7.83,1.363,5,1VYW,-10.5
37,ligand_6039,-10.5,-9.634,-10.19,-11.06,-7.83,1.363,5,7RWF,-11.06
37,ligand_6039,-10.5,-9.634,-10.19,-11.06,-7.83,1.363,5,5A14,-10.19
37,ligand_6039,-10.5,-9.634,-10.19,-11.06,-7.83,1.363,5,5IF1,-7.83
37,ligand_6039,-10.5,-9.634,-10.19,-11.06,-7.83,1.363,5,1W98,-8.59
38,ligand_5529,-10.73,-9.581,-10.56,-10.79,-7.67,1.47,5,1VYW,-10.56
38,ligand_5529,-10.73,-9.581,-10.56,-10.79,-7.67,1.47,5,7RWF,-10.57
38,ligand_5529,-10.73,-9.581,-10.56,-10.79,-7.67,1.47,5,5A14,-10.79
38,ligand_5529,-10.73,-9.581,-10.56,-10.79,-7.67,1.47,5,5IF1,-7.67
38,ligand_5529,-10.73,-9.581,-10.56,-10.79,-7.67,1.47,5,1W98,-8.31
39,ligand_4726,-10.28,-9.568,-10.24,-10.82,-7.94,1.311,5,1VYW,-10.46
39,ligand_4726,-10.28,-9.568,-10.24,-10.82,-7.94,1.311,5,7RWF,-10.24
39,ligand_4726,-10.28,-9.568,-10.24,-10.82,-7.94,1.311,5,5A14,-10.82
39,ligand_4726,-10.28,-9.568,-10.24,-10.82,-7.94,1.311,5,5IF1,-7.94
39,ligand_4726,-10.28,-9.568,-10.24,-10.82,-7.94,1.311,5,1W98,-8.38
40,ligand_4392,-10.29,-9.549,-10.4,-11.16,-7.46,1.652,5,1VYW,-10.4
40,ligand_4392,-10.29,-9.549,-10.4,-11.16,-7.46,1.652,5,7RWF,-10.62
40,ligand_4392,-10.29,-9.549,-10.4,-11.16,-7.46,1.652,5,5A14,-11.16
40,ligand_4392,-10.29,-9.549,-10.4,-11.16,-7.46,1.652,5,5IF1,-7.46
40,ligand_4392,-10.29,-9.549,-10.4,-11.16,-7.46,1.652,5,1W98,-8.11
41,ligand_92,-10.97,-9.537,-9.048,-10.86,-8.68,1.005,5,1VYW,-10.86
41,ligand_92,-10.97,-9.537,-9.048,-10.86,-8.68,1.005,5,7RWF,-10.36
