Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,1VYW,7RWF,5A14,5IF1,1W98
182,ligand_2427,-10.36,-8.416,-8.181,-10.34,-7.07,1.325,5,-10.34,-7.07,-8.18,-7.41,-9.08
183,ligand_486,-10.82,-8.404,-8.166,-10.81,-6.49,1.637,5,-10.81,-6.49,-7.51,-8.17,-9.04
184,ligand_2342,-10.27,-8.357,-8.989,-10.43,-5.96,1.773,5,-10.43,-5.96,-7.18,-8.99,-9.22
185,ligand_1054,-10.03,-8.339,-8.161,-10.02,-7.59,0.974,5,-10.02,-8.17,-7.75,-7.59,-8.16
186,ligand_4094,-10.25,-8.314,-7.483,-10.23,-6.97,1.467,5,-10.23,-9.54,-7.48,-7.35,-6.97
187,ligand_5841,-10.38,-8.307,-7.390,-10.37,-6.69,1.857,5,-10.37,-10.27,-7.39,-6.69,-6.82
188,ligand_1364,-10.03,-8.298,-8.086,-10.08,-7.38,1.079,5,-10.08,-7.38,-8.09,-7.54,-8.41
189,ligand_780,-10.54,-8.284,-8.158,-10.50,-7.16,1.315,5,-10.50,-8.16,-7.16,-7.45,-8.16
190,ligand_3490,-12.38,-8.270,-7.746,-12.36,-6.39,2.389,5,-12.36,-6.39,-8.09,-6.76,-7.75
191,ligand_7199,-11.19,-8.258,-8.076,-11.24,-6.37,1.844,5,-11.24,-6.37,-8.39,-7.21,-8.08
192,ligand_4804,-10,-8.246,-8.106,-10.06,-6.82,1.198,5,-10.06,-6.82,-8.55,-7.70,-8.11
193,ligand_1010,-10.89,-8.231,-7.784,-10.96,-6.87,1.577,5,-10.96,-6.87,-7.78,-7.86,-7.69
194,ligand_3250,-10.01,-8.214,-7.810,-9.96,-7.61,0.987,5,-9.96,-7.72,-7.97,-7.61,-7.81
195,ligand_5269,-11.85,-8.171,-7.375,-11.85,-6.41,2.132,5,-11.85,-6.41,-7.23,-7.38,-7.99
196,ligand_6672,-10.39,-8.170,-7.852,-10.39,-6.96,1.299,5,-10.39,-7.73,-7.85,-6.96,-7.91
197,ligand_7118,-10.14,-8.156,-7.841,-10.08,-6.70,1.367,5,-10.08,-6.70,-8.96,-7.20,-7.84
198,ligand_5702,-10.82,-8.152,-7.675,-11.14,-6.72,1.729,5,-11.14,-6.72,-7.90,-7.33,-7.67
199,ligand_463,-10.03,-8.144,-7.207,-10.61,-6.01,2.040,5,-10.02,-6.01,-10.61,-7.21,-6.87
200,ligand_2864,-11.18,-8.142,-7.648,-11.16,-6.54,1.761,5,-11.16,-6.54,-7.51,-7.65,-7.85
201,ligand_381,-11.2,-8.125,-7.647,-11.19,-6.48,1.789,5,-11.19,-6.48,-7.65,-7.77,-7.54
202,ligand_6457,-10.29,-8.124,-8.199,-10.29,-6.54,1.485,5,-10.29,-6.54,-8.20,-6.96,-8.63
203,ligand_5299,-10.53,-8.113,-7.788,-10.53,-6.58,1.454,5,-10.53,-6.58,-7.88,-7.79,-7.79
204,ligand_7238,-10.33,-8.087,-8.196,-10.33,-6.37,1.510,5,-10.33,-6.37,-8.20,-7.08,-8.45
205,ligand_2733,-10.02,-8.080,-7.820,-10.44,-6.41,1.460,5,-10.44,-6.41,-7.95,-7.78,-7.82
206,ligand_2544,-10.48,-8.080,-8.040,-10.46,-6.46,1.489,5,-10.46,-6.46,-8.12,-7.32,-8.04
207,ligand_2002,-10.27,-8.063,-8.041,-10.19,-6.46,1.388,5,-10.19,-8.31,-8.04,-6.46,-7.32
208,ligand_87,-11.45,-8.015,-7.377,-11.46,-6.13,2.083,5,-11.46,-6.13,-7.38,-6.81,-8.30
