Ligand,Affinity
ligand_1163,-6.098
ligand_1164,-8.896
ligand_1165,-10.53
ligand_1166,-8.909
ligand_1167,-6.182
ligand_1168,-7.277
ligand_1169,-8.408
ligand_1170,-6.257
ligand_1171,-7.273
ligand_1172,-10.03
ligand_1173,-5.689
ligand_1174,-7.255
ligand_1175,-7
ligand_1176,-6.581
ligand_1177,-8.858
ligand_1178,-8.393
ligand_1179,-7.901
ligand_1180,-6.808
ligand_1181,-6.057
ligand_1182,-6.023
ligand_1183,-7.453
ligand_1184,-8.682
ligand_1185,-9.738
ligand_1186,-8.716
ligand_1187,-7.438
ligand_1188,-5.68
ligand_1189,-6.451
ligand_1190,-7.6
ligand_1191,-8.152
ligand_1192,-4.419
ligand_1193,-10.39
ligand_1194,-6.353
ligand_1195,-9.098
ligand_1196,-6.327
ligand_1197,-6.629
ligand_1198,-6.607
ligand_1199,-7.269
ligand_1200,-8.399
ligand_1201,-6.087
ligand_1202,-8.388
ligand_1203,-5.774
ligand_1204,-8.495
ligand_1205,-6.402
ligand_1206,-7.821
ligand_1207,-6.631
ligand_1208,-8.625
ligand_1209,-7.128
ligand_1210,-6.474
ligand_1211,-5.426
ligand_1212,-8.974
ligand_1213,-6.919
ligand_1214,-10.57
ligand_1215,-7.116
ligand_1216,-5.635
ligand_1217,-7.788
ligand_1218,-9.476
ligand_1219,-6.166
ligand_1220,-7.291
ligand_1221,-9.663
ligand_1222,-4.542
ligand_1223,-6.46
ligand_1224,-8.066
ligand_1225,-8.174
ligand_1226,-5.837
ligand_1227,-6.848
ligand_1228,-5.912
ligand_1229,-8.594
ligand_1230,-9.016
ligand_1231,-4.463
ligand_1232,-5.981
ligand_1233,-7.964
ligand_1234,-6.983
ligand_1235,-8.019
ligand_1236,-8.931
ligand_1237,-9.564
ligand_1238,-5.235
ligand_1239,-8.727
ligand_1240,-6.133
ligand_1241,-7.25
ligand_1242,-5.708
ligand_1243,-10.01
ligand_1244,-8.887
ligand_1245,-6.631
ligand_1246,-6.418
